id,video,homography_matrix,upleft_x,upright_x,downleft_x,downright_x,upleft_y,upright_y,downleft_y,downright_y,
81,SHI_Yu Qi_LEE_Zii_Jia_Denmark_Open_2022_Final,"[[1.7717371090988803, 0.8511285646852748, -964.6558428875122], [-0.0337325842593428, 7.608125034405032, -1635.6640034679085], [-5.349223303708538e-05, 0.004812136439890747, 1.0]]",453.6,828.6,292.4,988.4,261,262.4,658.4,656.6,0
82,LEE_Zii_Jia_LIEW_Daren_Thailand_Open_2022_SemiFinals_Trim,"[[0.7225166626659919, 0.22917305367741891, -282.8882675934239], [-0.00090059042258145, 3.148505303030927, -604.9016992592883], [8.149656276657582e-06, 0.0012957922813282697, 1.0]]",361,917.6,248.6,1032,255.8,256.2,675,677.8,0
83,Lee_Zii_Jia_Loh_Kean_Yew_Denmark_Open_2022_Semifinals,"[[1.8177475180823501, 0.8751628398977066, -993.2040496072611], [-0.028585832493295785, 7.808195651124831, -1697.3512005507487], [-3.936850512837629e-05, 0.004930010452485091, 1.0]]",454.2,828.2,293.8,986.8,262.8,264,657,656.4,0
84,HE_Bing_Jiao_CHEN_Yu_Fei_Denmark_Open_2022_Final,"[[1.7610911819951016, 0.8470749276470257, -959.0000905010281], [-0.04582660126281603, 7.578498629535338, -1626.8255328281095], [-6.183308143540944e-05, 0.0047850408011351165, 1.0]]",453.4,828.8,292.4,988,261.4,263.4,657,657.8,0
85,CHEN_Yu_Fei_Ratchanok_INTANON_Denmark_Open_2022_SemiFinals,"[[1.818183106691472, 0.8779309366122995, -993.8988908887047], [-0.02028883843804634, 7.8100126022075695, -1699.7348584623494], [-3.4547582230136905e-05, 0.00493305495448094, 1.0]]",454.2,828.6,293,987,262.6,263.4,656,657.4,0
86,HE_Bing_Jiao_Carolina_MARIN_French_Open_2022_Final,"[[2.749028763805865, 1.4005159909436278, -1605.4207823809245], [0.050138976893706444, 10.78670942167197, -2129.6447642901107], [4.707810258220123e-05, 0.007788276964656058, 1.0]]",492.8,805.4,311,982.4,234.8,233.4,653.8,655.6,0
87,Viktor_AXELSEN_Rasmus_GEMKE_French_Open_2022 _Finals,"[[2.654513138424582, 1.3541592841450052, -1551.2338203007803], [0.017557032550436554, 10.472879270269337, -2047.8966580120837], [-2.299430980281234e-06, 0.0075591296830984905, 1.0]]",493.4,806.4,311.4,983.4,234.4,233.8,652.6,655.6,0
88,Viktor_AXELSEN_Kodai_NARAOKA_YONEX_French_Open_2022_Semifinals,"[[2.6464159173542465, 1.346445431054304, -1528.160385274654], [-0.012346824392822791, 10.448595276269657, -2057.5227122707333], [-4.251439980491897e-05, 0.007531938739143504, 1.0]]",485.4,797.6,304.2,973.4,237.2,237.4,654.6,658,0
89,SHI_Yu_Qi_Kodai_NARAOKA_Denmark_Open_2022_SemiFinals,"[[1.7919612376964404, 0.8601757102280404, -976.831972269966], [-0.024251655556263685, 7.6893189864785105, -1665.6798254830412], [-3.797096032294923e-05, 0.00484735448468499, 1.0]]",453.8,829,293.4,987.6,262,263,656.2,657.4,0
90,AN_Se_Young_Pornpawee_CHOCHUWONG_Korea_Open_Badminton_Championships_2022_Finals,"[[2.0054546246761134, 1.0522918342633663, -1116.092490405858], [-0.012713027789638568, 9.180998750303846, -2121.60051274594], [1.9098037533232425e-06, 0.005713865158664253, 1.0]]",448,832.2,282.2,984.6,273.6,274.2,647,644.8,0
91,Carolina_MARIN_Akane_YAMAGUCHI_French_Open_2022_SemiFinals,"[[2.728559154790343, 1.3873333578528748, -1576.4581680706688], [0.03274926231011658, 10.745722884721154, -2136.3292521811154], [1.4062558949991172e-05, 0.007743795332140536, 1.0]]",485.8,798.6,304.8,975,237,236,654,657.2,0
92,Viktor_AXELSEN_ZHAO_Jun_Peng_Indonesia_Open_2022_Final,"[[1.685702299029616, 0.6966888326048883, -897.7602194703412], [0.0012278268405882908, 6.976485271321307, -1665.668890614626], [-1.4336483538529749e-05, 0.00398411536270343, 1.0]]",449.6,827.2,319,961.4,284.4,284.2,659.2,657,0
93,Rasmus_GEMKE_LEE_Cheuk_Yiu_French_Open_2022_SemiFinals,"[[1.1280560671906983, 0.46240028226451285, -545.9480284316385], [0.022441706087868826, 3.861660752610907, -334.4588932748882], [3.58024780587449e-05, 0.002552725789856504, 1.0]]",461,827.8,286.2,997.4,137,135.2,641.6,639,0
94,CHEN_Yu_Fei_PUSARLA_V._Sindhu_Thailand_Open_2022_SemiFinals,"[[1.1264445365903164, 0.45252728075785226, -540.5163466061629], [-0.016975372556019396, 6.0909070535329874, -1821.6201502818283], [-2.2325609700005154e-05, 0.002603581785933404, 1.0]]",386.6,888.6,280.4,999,346.8,348,660.6,660.8,0
